gdd,rain_flowering,rain_season,temp_max_mean,yield_t_ha
1564.28,5.0,302.77,25.46,9.17
1873.89,26.81,80.0,29.19,9.87
1706.86,40.88,260.27,32.68,7.44
1507.04,12.82,286.23,29.5,10.16
1728.79,37.75,333.94,28.96,10.69
1533.04,34.77,178.89,29.58,8.94
1744.45,43.69,266.85,28.98,9.36
1789.03,36.79,185.97,27.54,10.01
1551.52,20.4,280.43,30.48,9.65
1765.61,52.95,188.37,29.41,8.89
1699.53,32.62,227.35,29.03,9.88
1748.65,34.59,180.33,27.24,9.41
1877.62,21.0,312.09,31.35,10.3
1620.55,28.35,328.68,30.2,9.62
1559.55,21.73,241.23,28.0,11.08
1543.26,32.41,263.06,30.8,9.68
1552.1,60.68,144.11,28.1,8.59
1640.75,14.42,236.03,27.59,9.98
1690.94,10.8,255.98,27.63,9.66
1683.2,57.07,469.66,25.81,8.77
1749.26,31.86,171.04,29.85,8.76
1651.56,24.96,377.13,25.7,10.92
1824.42,50.6,339.75,26.79,10.25
1618.24,25.92,282.45,25.26,9.51
1900.0,62.39,400.69,28.85,9.04
1725.08,45.17,289.77,28.73,9.32
1547.14,27.68,291.13,28.41,10.71
1521.49,67.36,255.75,27.12,8.86
1707.9,25.91,357.89,26.89,10.65
1623.18,46.13,347.72,29.84,9.9
1735.68,39.49,209.95,28.01,10.98
1706.79,54.53,154.46,29.57,8.75
1641.26,58.42,243.76,27.41,9.31
1548.38,35.48,196.0,29.33,9.44
1468.22,23.7,254.92,31.35,9.74
1596.42,41.9,359.0,30.06,8.28
1752.77,24.83,223.42,28.26,10.93
1675.69,65.2,256.57,29.46,8.87
1500.51,37.05,264.64,28.57,9.99
1670.78,29.52,327.87,29.01,10.05
1696.24,37.77,80.25,28.41,9.37
1543.94,14.79,211.46,28.7,10.61
1668.45,20.43,276.9,29.38,12.25
1656.99,53.01,356.01,27.21,10.37
1512.84,25.15,220.65,27.17,9.3
1692.93,19.3,109.88,26.5,9.5
1717.29,43.05,309.58,26.12,9.44
1779.97,52.79,209.17,26.81,8.41
1776.46,45.78,164.83,29.29,9.28
1484.68,49.94,210.05,27.39,9.44
1537.46,23.65,245.24,29.92,8.8
1711.8,13.67,211.62,29.06,11.18
1711.65,57.52,83.55,25.46,8.21
1711.81,30.16,331.77,30.18,9.55
1900.0,31.24,361.99,30.46,10.27
1718.51,54.92,312.12,27.21,10.76
1786.27,43.34,168.99,29.76,9.82
1764.48,41.84,243.88,27.46,10.09
1728.17,67.48,259.48,29.18,8.98
1612.17,25.35,307.9,26.72,10.3
1741.08,48.92,313.47,25.77,9.09
1557.26,35.86,201.27,28.31,8.35
1621.58,39.03,266.56,28.78,11.08
1591.76,57.93,296.58,28.28,9.51
1659.82,42.62,376.47,26.87,10.42
1900.0,43.07,316.36,28.28,10.68
1425.93,51.09,323.12,29.48,8.55
1732.35,29.53,266.71,28.92,10.27
1456.47,22.41,372.84,29.33,9.24
1593.37,19.33,292.78,27.79,11.93
1780.67,5.5,191.11,31.11,8.86
1657.71,65.84,372.27,26.88,8.85
1520.67,18.45,315.83,29.88,9.72
1564.16,31.68,224.56,31.13,9.16
1731.55,30.85,221.64,29.87,9.78
1562.36,39.61,283.73,28.64,9.05
1675.98,47.24,297.05,28.05,10.71
1655.47,47.91,275.78,30.86,9.01
1571.81,26.25,284.9,26.44,10.24
1900.0,32.49,396.0,27.25,11.71
1726.07,39.24,345.72,28.28,11.95
1406.98,31.27,275.25,31.23,9.43
1672.37,59.11,335.3,29.68,8.91
1570.59,42.36,177.4,27.26,10.26
1752.29,46.02,291.83,28.44,10.37
1554.9,44.94,404.74,27.89,10.46
1636.23,52.6,242.56,27.72,8.46
1710.6,37.72,192.19,30.76,8.67
1753.89,15.55,207.83,26.53,9.94
1505.96,41.0,172.83,31.9,7.45
1609.86,25.23,197.22,30.49,9.77
1593.01,27.07,230.36,30.96,7.53
1571.6,43.8,147.55,28.17,9.19
1861.85,53.57,261.25,28.73,10.69
1698.6,35.32,332.18,26.42,10.03
1498.69,39.63,187.38,28.06,9.74
1760.14,60.53,381.54,29.89,9.79
1900.0,38.61,300.86,31.33,9.33
1773.9,74.03,342.45,27.01,9.27
1467.68,43.48,207.37,28.34,8.45
1591.89,8.59,328.36,28.73,10.28
1802.03,46.3,172.65,26.49,9.89
1565.08,40.72,331.22,30.06,9.39
1703.26,54.35,273.75,27.7,9.63
1742.96,45.1,304.26,28.65,9.9
1538.77,32.92,165.95,28.19,9.33
1642.86,16.64,188.39,27.58,10.96
1300.0,31.86,307.78,28.99,9.18
1527.07,22.24,184.13,28.61,9.03
1619.69,26.29,297.06,28.33,10.88
1500.27,43.83,150.63,27.69,8.9
1845.89,60.05,327.85,29.58,9.77
1478.38,40.92,161.4,31.98,7.71
1597.19,17.06,304.18,29.25,10.45
1665.69,41.67,310.05,30.79,9.16
1822.95,52.95,204.26,26.5,8.74
1477.7,25.85,306.56,29.28,9.77
1789.58,32.99,280.84,27.02,10.83
1651.23,35.22,216.89,26.34,8.59
1532.22,23.23,179.32,27.67,9.96
1705.45,44.72,102.99,31.15,7.91
1673.89,33.19,287.97,30.71,9.26
1577.97,41.29,134.82,29.44,9.56
1658.38,21.69,267.63,26.24,10.3
1603.76,28.44,238.92,28.65,10.94
1663.62,45.84,314.33,29.54,9.09
1729.46,29.41,235.84,29.32,10.21
1840.32,60.9,233.64,25.68,8.95
1501.46,29.01,318.55,27.4,9.46
1900.0,38.37,286.8,28.88,11.2
1415.75,48.99,285.29,29.97,10.03
1631.79,13.72,297.54,25.05,9.54
1720.6,8.59,137.15,28.71,10.82
1683.72,12.12,320.54,29.26,10.94
1575.28,53.94,309.0,30.53,8.17
1625.03,26.72,178.67,30.25,8.13
1590.84,73.37,240.47,30.05,7.68
1579.28,26.54,256.86,27.56,9.32
1751.95,37.77,249.24,25.57,10.38
1692.84,58.13,286.71,28.29,9.55
1566.85,65.09,374.51,30.8,8.08
1757.95,65.92,346.54,31.51,8.49
1686.88,53.13,155.02,30.28,7.79
1747.54,50.36,309.77,29.77,9.17
1725.56,43.89,366.31,29.68,10.08
1550.52,46.68,290.94,28.0,10.26
1582.78,26.73,347.28,28.77,10.76
1739.68,22.73,420.98,32.0,9.1
1723.24,34.95,341.9,27.3,10.6
1647.49,32.45,279.94,31.91,8.22
1664.08,28.2,343.61,28.42,10.78
1803.32,45.45,271.59,31.39,7.89
1579.01,49.33,261.91,26.47,9.19
1715.65,36.33,231.89,30.05,8.85
1625.74,57.16,385.07,27.67,9.92
1623.88,17.87,194.53,26.45,9.65
1781.85,32.1,382.59,29.39,12.25
1749.05,24.25,299.99,30.82,9.63
1747.62,7.0,148.06,27.48,9.87
1806.66,33.76,289.41,26.3,10.15
1652.52,33.17,92.0,28.83,9.71
1731.83,57.7,310.04,28.84,10.74
1612.77,44.46,330.82,29.99,9.08
1688.9,19.64,212.61,30.71,8.43
1634.38,62.81,269.88,28.89,9.65
1661.64,53.32,416.33,32.34,6.57
1721.42,43.73,219.54,29.4,9.31
1551.81,31.6,175.29,28.38,9.46
1900.0,20.61,378.53,26.1,11.06
1529.28,29.42,417.01,28.53,10.98
1504.3,51.33,260.3,28.39,8.83
1788.97,63.27,340.92,30.73,8.66
1745.0,58.15,367.32,29.83,9.58
1724.89,27.67,200.6,26.88,10.19
1725.4,18.21,221.18,29.31,10.45
1648.53,37.11,358.47,30.21,9.97
1542.33,8.47,394.8,31.75,9.58
1659.1,39.85,305.03,30.6,9.4
1568.74,32.79,189.61,30.37,9.13
1767.01,28.01,418.96,29.11,10.12
1632.35,11.08,217.52,29.7,10.22
1550.94,42.7,233.19,31.25,8.23
1611.43,27.01,287.39,26.6,10.51
1699.55,17.45,384.33,28.37,10.83
1582.35,5.0,328.32,27.61,10.7
1551.33,34.59,293.19,29.68,9.24
1679.24,61.58,297.06,31.21,8.31
1679.4,59.92,263.48,27.93,10.07
1589.17,28.14,304.65,24.7,8.47
1593.48,25.97,80.0,28.26,10.06
1677.85,42.03,236.27,30.64,8.9
1476.23,20.02,279.31,29.97,9.55
1481.1,39.53,167.92,29.77,8.59
1563.79,46.49,290.91,28.5,10.09
1624.39,53.4,243.64,26.7,9.37
1687.31,33.5,400.44,29.93,11.62
1827.04,31.94,385.84,27.5,10.6
1752.92,21.83,222.74,32.93,7.28
1630.81,22.6,247.93,30.03,9.46
1647.72,31.6,254.08,27.95,9.67
1529.7,40.51,223.87,27.9,9.5
1647.78,48.7,275.6,28.83,9.74
1615.36,22.95,199.34,28.57,11.85
1688.73,57.39,169.55,31.01,7.71
1550.73,30.93,309.82,29.34,9.24
1712.32,34.68,310.36,27.68,10.63
1833.93,23.79,195.65,32.4,6.5
1636.95,5.0,331.63,29.09,11.04
1698.21,48.26,209.47,30.38,8.79
1732.82,46.05,280.25,27.91,10.55
1601.85,30.78,325.63,29.65,10.56
1676.89,36.0,257.31,29.56,9.47
1651.51,42.74,296.38,25.6,9.08
1661.72,11.56,218.69,32.63,7.01
1557.24,27.06,244.28,31.32,7.72
1652.94,46.91,243.53,28.29,9.87
1709.76,16.19,200.27,27.02,9.68
1824.14,39.4,245.86,29.63,9.72
1765.11,14.65,136.11,29.16,9.72
1900.0,42.0,220.71,29.64,10.3
1557.92,34.47,237.21,29.34,10.62
1754.68,10.77,239.51,29.91,9.69
1672.0,52.47,240.68,31.61,6.51
1900.0,23.98,255.06,30.02,10.36
1553.0,22.85,298.36,27.11,10.28
1549.23,38.01,329.96,31.45,8.4
1578.07,52.23,208.02,31.95,6.6
1395.13,19.76,163.74,34.0,4.03
1586.91,35.93,176.64,26.98,9.66
1558.9,41.43,221.02,29.44,9.85
1668.05,45.4,231.85,25.25,7.43
1691.01,37.65,198.4,30.0,9.07
1875.14,29.49,156.31,28.01,10.56
1764.05,22.59,223.51,32.46,7.09
1580.77,36.29,274.51,27.61,10.98
1542.19,18.92,307.6,25.96,9.51
1709.03,5.0,215.41,28.15,10.96
1491.57,41.55,226.96,25.44,8.74
1869.78,48.56,185.86,30.35,8.78
1791.53,5.0,257.48,25.28,9.14
1593.7,19.85,192.13,29.05,9.73
1444.42,44.29,305.85,25.26,9.0
1812.46,65.86,117.13,28.42,8.79
1636.26,35.31,231.23,31.96,7.1
1798.54,24.08,284.09,29.65,11.06
1458.67,32.26,274.71,27.45,9.53
1578.07,55.62,475.44,28.94,9.74
1650.63,25.31,287.98,29.03,10.45
1655.64,23.01,179.68,29.85,10.12
1595.99,27.76,252.36,26.54,11.28
1724.74,20.7,117.9,30.07,10.02
1521.89,36.84,253.55,24.13,8.17
1632.91,59.37,193.36,27.87,8.77
1664.44,39.85,333.23,28.12,9.68
1711.73,31.21,216.04,30.14,9.56
1735.39,30.62,250.66,29.04,10.32
1515.04,11.55,209.16,26.47,9.28
1465.91,48.25,399.11,27.23,9.62
1803.32,33.83,234.3,29.36,10.39
1689.88,32.29,406.6,28.86,10.99
1560.18,82.9,325.13,27.96,9.02
1836.14,39.48,298.57,28.13,10.77
1663.88,23.72,289.5,30.25,9.54
1791.52,28.6,291.5,28.07,10.48
1658.1,52.23,105.79,28.84,8.18
1897.29,36.7,237.69,32.91,8.05
1860.64,13.43,327.61,26.44,11.2
1620.12,48.79,256.09,25.67,8.66
1766.59,24.98,147.58,30.41,8.83
1727.45,63.1,255.81,27.78,11.2
1814.24,51.2,396.33,28.43,9.91
1534.21,28.29,359.75,27.59,10.14
1732.33,54.22,255.04,28.53,9.93
1777.01,36.02,336.12,31.88,8.81
1438.95,47.79,230.68,30.44,8.77
1508.01,42.27,123.69,30.55,9.1
1405.29,22.3,186.04,26.45,9.53
1617.67,25.35,385.03,26.93,10.02
1736.11,50.45,238.08,24.0,7.22
1830.28,29.98,240.53,27.54,10.79
1658.89,28.95,236.01,30.72,10.35
1845.43,20.67,412.33,29.93,10.25
1484.39,41.35,390.08,28.6,10.7
1445.59,65.94,437.5,28.96,9.36
1643.33,18.99,247.28,27.76,11.02
1696.09,35.36,283.65,29.37,9.97
1646.08,56.18,138.67,30.38,7.63
1401.91,33.81,378.15,26.09,9.91
1639.31,41.79,166.58,29.54,9.55
1493.46,19.06,277.34,30.68,9.78
1730.36,41.42,172.22,28.25,9.75
1693.99,32.19,212.89,30.26,8.99
1537.21,49.79,193.02,34.0,4.0
1588.34,52.81,211.37,28.81,9.62
1522.89,73.84,216.87,29.71,8.28
1642.48,43.69,216.14,27.67,9.06
1764.62,39.89,326.67,29.33,9.93
1531.71,37.92,171.61,29.83,8.6
1710.49,29.7,277.64,29.35,9.33
1586.37,40.08,357.44,27.16,9.6
1554.86,30.57,218.94,29.37,8.88
1637.16,37.53,202.57,31.63,7.55
1525.77,54.76,241.56,29.81,8.2
1583.56,19.9,354.38,30.73,8.68
1506.25,52.1,275.53,28.57,10.47
1885.77,54.76,217.5,30.35,9.87
1654.23,33.23,298.71,29.5,9.53
1566.03,5.0,171.82,27.29,10.54
1675.68,25.88,314.51,29.57,10.55
1636.52,54.45,292.69,27.21,10.25
1623.48,34.66,235.38,27.86,9.47
1723.7,20.01,192.91,29.34,10.87
1740.9,27.43,189.07,29.54,9.6
1586.34,47.61,302.79,26.86,8.75
1580.9,43.2,358.32,30.9,9.26
1616.99,31.42,209.02,30.03,10.09
1373.77,29.5,296.67,27.73,11.28
1468.18,29.12,93.04,26.23,7.98
1814.02,21.16,213.23,28.74,11.09
1847.4,59.23,257.52,28.2,9.62
1620.12,30.17,187.23,29.2,10.15
1719.19,53.26,185.08,28.35,8.54
1687.35,57.82,206.58,25.39,7.53
1900.0,49.97,283.38,28.3,9.91
1784.35,28.53,245.01,28.45,10.6
1634.65,41.06,80.94,30.14,8.11
1535.34,34.64,90.34,27.74,9.55
1457.23,21.44,211.45,32.02,8.04
1674.42,39.87,296.61,25.56,9.64
1559.24,17.31,80.0,31.36,8.98
1479.33,52.82,220.02,28.6,9.19
1572.41,28.03,217.9,30.55,8.26
1520.21,38.02,371.07,29.14,10.77
1852.46,39.25,229.2,31.05,8.61
1755.8,31.12,290.64,28.3,11.15
1649.04,43.8,271.3,27.02,10.69
1827.59,27.88,89.55,31.56,8.47
1659.28,48.07,321.46,28.8,9.0
1546.65,14.81,277.23,29.4,9.69
1832.77,36.9,300.66,31.22,9.91
1714.67,64.08,500.0,27.14,10.15
1525.53,20.0,93.27,30.07,8.99
1627.16,24.83,397.98,27.94,11.37
1544.93,42.71,237.0,28.76,9.86
1484.06,37.69,282.99,29.13,9.69
1761.14,40.26,256.36,26.3,9.66
1879.13,42.34,226.06,27.6,10.12
1482.17,44.52,214.41,31.43,7.98
1717.56,51.65,286.36,30.6,9.21
1571.92,41.15,138.63,28.89,8.98
1591.54,31.38,320.05,29.44,10.66
1578.91,45.09,226.7,28.47,9.39
1546.32,63.5,169.59,31.44,6.35
1655.82,33.01,224.0,28.64,9.53
1550.29,20.38,360.57,29.42,9.82
1682.45,51.61,217.17,31.06,7.96
1643.97,33.19,288.68,27.6,10.99
1621.33,5.0,201.52,31.81,8.05
1541.09,47.71,320.63,26.25,9.36
1580.79,26.97,314.84,31.93,7.69
1740.65,33.64,407.89,28.33,10.8
1710.11,39.98,245.95,28.56,9.11
1532.69,37.86,313.49,25.6,8.95
1661.92,45.64,267.85,28.18,9.74
1740.17,28.47,363.67,27.13,11.16
1449.67,42.7,202.49,27.91,9.29
1715.2,31.11,319.6,28.75,9.83
1570.49,46.08,244.42,30.72,9.06
1718.47,44.23,254.86,29.37,9.83
1558.41,20.97,267.34,29.55,10.09
1433.41,51.29,280.18,27.03,9.02
1454.69,26.96,250.7,27.41,9.47
1655.77,47.12,277.18,32.24,7.27
1681.17,40.51,386.25,27.68,10.8
1541.48,62.57,338.84,31.98,5.91
1726.63,31.65,329.53,28.56,10.31
1450.62,29.76,223.56,29.0,9.32
1642.07,34.71,188.86,30.93,8.69
1504.68,30.45,336.42,31.29,9.29
1571.78,47.0,330.08,28.8,9.28
1655.69,10.76,377.81,28.3,11.02
1546.75,19.19,211.68,28.9,9.71
1603.85,18.98,241.64,29.61,9.54
1770.76,49.25,128.84,30.6,8.24
1580.77,60.66,228.6,29.01,9.36
1750.28,33.43,339.73,30.11,9.43
1514.44,32.47,222.68,31.95,7.62
1713.58,36.05,311.24,29.69,9.0
1822.99,52.43,244.76,29.56,9.26
1353.4,21.09,285.92,26.27,9.25
1554.37,38.58,168.18,24.26,8.31
1719.25,49.63,266.82,29.7,9.28
1625.63,42.52,80.0,28.83,7.68
1694.54,37.84,245.05,28.07,8.88
1577.52,50.02,129.56,29.44,8.67
1660.39,5.0,356.48,28.89,11.68
1631.32,45.17,322.19,31.03,8.86
1790.13,25.19,297.33,29.15,10.81
1680.53,7.54,381.68,27.66,12.18
1690.51,42.67,184.09,30.78,8.2
1600.57,55.6,399.79,28.61,10.41
1591.49,32.94,334.58,29.95,8.78
1598.09,49.29,241.08,28.14,8.93
1697.33,59.18,350.85,27.83,8.78
1599.48,54.72,171.5,29.15,8.68
1684.77,59.6,194.04,29.02,9.02
1899.05,46.13,211.31,29.86,9.76
1754.53,36.13,217.68,28.52,10.17
1610.88,10.97,175.48,25.69,9.05
1794.15,31.31,357.85,28.22,10.86
1601.03,22.35,239.29,30.43,8.51
1405.43,67.56,288.2,28.46,9.42
1529.03,32.36,214.37,28.56,9.48
1425.5,36.85,114.35,30.78,7.47
1607.82,43.27,281.6,27.72,10.79
1652.21,35.65,107.02,26.22,8.27
1851.17,60.43,254.51,28.71,9.08
1689.23,25.66,150.53,28.13,9.4
1623.71,37.92,418.98,27.26,10.47
1749.53,23.86,332.91,28.68,11.18
1384.66,15.2,268.46,29.88,9.99
1678.27,25.82,361.1,28.98,12.26
1742.5,34.44,192.29,29.55,8.38
1472.57,28.56,303.48,32.26,7.68
1787.25,24.61,275.98,28.38,10.48
1690.62,13.91,281.12,29.5,10.24
1600.17,33.75,361.79,28.08,10.06
1725.93,12.43,318.6,27.48,10.63
1900.0,46.4,283.1,27.95,11.5
1671.82,36.24,127.61,28.14,10.11
1679.79,13.14,183.2,29.65,10.15
1594.88,30.36,250.18,33.23,6.79
1548.02,23.72,267.47,27.71,9.31
1749.64,39.79,169.58,28.25,9.05
1547.27,55.11,452.93,28.89,8.6
1658.59,6.87,381.31,29.71,10.61
1592.68,36.73,308.17,29.47,9.88
1707.48,32.6,265.76,31.31,8.77
1690.04,45.07,243.02,24.63,8.23
1774.5,38.2,183.85,24.7,7.55
1588.8,23.72,266.2,28.11,10.81
1617.62,30.21,280.62,30.98,9.08
1532.55,23.06,160.66,26.18,9.73
1596.68,51.14,286.73,24.0,6.07
1695.28,35.32,247.58,30.03,9.74
1740.84,63.52,107.38,29.44,7.85
1539.34,34.09,191.17,27.04,9.21
1754.35,24.37,226.91,27.23,10.79
1812.68,12.29,411.02,27.25,11.78
1699.61,7.95,304.52,29.2,10.5
1875.22,11.24,153.16,27.87,10.96
1557.15,39.01,298.88,29.89,8.46
1500.64,42.63,136.22,24.0,7.31
1436.55,11.28,346.62,27.46,10.47
1829.53,48.43,222.31,26.97,10.52
1728.52,27.75,252.51,28.54,10.14
1643.33,37.2,366.06,28.03,10.14
1683.6,59.18,157.03,30.44,7.71
1514.94,48.45,148.23,25.65,8.63
1900.0,30.97,213.31,29.08,10.07
1665.51,21.63,343.07,30.01,10.67
1663.13,5.0,138.45,32.34,7.5
1737.09,24.21,80.0,28.13,8.75
1707.72,31.83,223.91,29.58,9.49
1676.87,20.19,304.14,25.75,9.34
1555.14,33.03,356.02,24.69,8.7
1706.58,36.15,222.95,30.52,8.41
1875.84,31.63,227.09,28.99,11.06
1811.45,25.25,352.31,31.12,9.66
1841.18,37.53,110.42,26.53,9.49
1588.65,41.63,228.92,29.94,9.47
1531.25,18.64,275.23,32.36,8.09
1634.91,56.16,295.94,29.76,9.11
1656.69,33.52,219.22,29.5,9.21
1781.3,35.28,262.76,29.02,9.23
1446.9,45.62,80.0,26.17,7.66
1833.55,38.5,207.34,31.44,8.11
1631.04,49.3,296.28,27.9,9.85
1598.77,39.31,181.42,29.91,8.79
1528.55,25.81,264.72,26.19,10.03
1451.42,40.42,295.75,26.88,9.04
1748.78,17.84,232.6,31.58,8.81
1658.8,36.63,273.64,28.37,10.83
1495.2,34.5,182.98,31.62,7.68
1494.59,31.88,243.47,28.86,9.61
1609.71,33.07,308.82,25.68,9.1
1850.28,6.77,272.56,30.61,10.11
1618.85,26.77,213.08,27.94,9.59
1469.62,36.39,277.94,30.26,8.6
1620.51,37.4,317.17,29.05,10.49
1617.27,19.58,96.0,26.22,9.23
1326.37,53.99,352.73,29.3,8.05
1643.48,22.01,233.1,32.95,7.76
1622.29,49.54,294.04,29.89,9.4
1733.54,41.41,355.78,28.9,9.55
1871.87,25.31,150.27,30.94,8.96
1785.19,61.63,203.24,29.38,9.21
1617.73,17.1,236.92,29.38,11.22
1517.22,48.79,197.3,27.04,8.31
1900.0,50.01,398.79,29.42,11.13
1657.11,24.94,191.46,30.86,9.77
1651.67,55.89,215.56,27.5,8.9
1647.1,31.25,276.35,31.56,8.21
1673.77,39.33,163.83,28.83,8.93
1632.68,38.9,228.35,27.4,9.65
1581.16,32.99,285.4,30.8,8.91
1584.38,47.16,233.37,28.48,9.84
1646.07,46.9,252.53,30.37,9.53
